Compound Class,belta,LDF,Ct1,Ceo,Anew,Agro,Amat,Aold
Isoprene,0.13,1,95,2,0.05,0.6,1,0.9
Myrcene,0.1,0.6,80,1.83,2,1.8,1,1.05
Sabinene,0.1,0.6,80,1.83,2,1.8,1,1.05
Limonene,0.1,0.2,80,1.83,2,1.8,1,1.05
3-Carene,0.1,0.2,80,1.83,2,1.8,1,1.05
t-belta_Ocimene,0.1,0.8,80,1.83,2,1.8,1,1.05
Belta-Pinene,0.1,0.2,80,1.83,2,1.8,1,1.05
Alpha-Pinene,0.1,0.6,80,1.83,2,1.8,1,1.05
Other Monoterpenes,0.1,0.4,80,1.83,2,1.8,1,1.05
Alpha-Farnesene,0.17,0.5,130,2.37,0.4,0.6,1,0.95
Belta-Caryophyllene,0.17,0.5,130,2.37,0.4,0.6,1,0.95
Other Sesquiterpenes,0.17,0.5,130,2.37,0.4,0.6,1,0.95
232-MBO,0.13,1,95,2,0.05,0.6,1,0.9
Methanol,0.08,0.8,60,1.6,3.5,3,1,1.2
Acetone,0.1,0.2,80,1.83,1,1,1,1
CO,0.08,1,60,1.6,1,1,1,1
Bidirectional VOC,0.13,0.8,95,2,1,1,1,1
Stress VOC,0.1,0.8,80,1.83,1,1,1,1
Other VOC,0.1,0.2,80,1.83,1,1,1,1
